fund,company,domain,hq,sector,stage,source_url
Visionaries Club,Langdock,langdock.com,Germany,Enterprise AI,,https://www.visionaries.vc/portfolio
Visionaries Club,Lovable,lovable.dev,Stockholm,AI/No-code,,https://www.visionaries.vc/portfolio
Visionaries Club,Pigment,gopigment.com,France,Business Planning,,https://www.visionaries.vc/portfolio
Visionaries Club,Miro,miro.com,,Collaboration,,https://www.visionaries.vc/portfolio
Visionaries Club,Personio,personio.com,Munich,HR/SaaS,,https://www.visionaries.vc/portfolio
Visionaries Club,n8n,n8n.io,Germany,AI Orchestration,,https://www.visionaries.vc/portfolio
Visionaries Club,Solve Intelligence,solveintelligence.com,,AI/Patents,,https://www.visionaries.vc/portfolio
Visionaries Club,Tacto,tacto.ai,Germany,AI Procurement,,https://www.visionaries.vc/portfolio
Visionaries Club,Black Forest Labs,bfl.ai,Germany,AI Research,,https://www.visionaries.vc/portfolio
Visionaries Club,Tandem Health,tandemhealth.ai,Nordics,Healthcare AI,,https://www.visionaries.vc/portfolio
Visionaries Club,Tendrils Compute,tendrils.co,,Hardware/Chips,,https://www.visionaries.vc/portfolio
Visionaries Club,Xentral,xentral.com,Germany,ERP/SaaS,,https://www.visionaries.vc/portfolio
Visionaries Club,Apron,getapron.com,UK,Fintech,,https://www.visionaries.vc/portfolio
Visionaries Club,Taktile,taktile.com,,AI/Finance,,https://www.visionaries.vc/portfolio
Visionaries Club,The Token Company,thetokencompany.com,,AI/LLM Tools,,https://www.visionaries.vc/portfolio
Visionaries Club,11x,11x.ai,,AI/Automation,,https://www.visionaries.vc/portfolio
Visionaries Club,Accountable,accountable.de,Germany,Fintech,,https://www.visionaries.vc/portfolio
Visionaries Club,Adfin,adfin.com,London,Fintech,,https://www.visionaries.vc/portfolio
Visionaries Club,Allonic,allonic.co,Germany,Robotics Manufacturing,,https://www.visionaries.vc/portfolio
Visionaries Club,Ameba,ameba.ai,London,Supply Chain AI,,https://www.visionaries.vc/portfolio
Visionaries Club,Arculus,arculus.de,Germany,Manufacturing,Acquired,https://www.visionaries.vc/portfolio
Visionaries Club,automaited,automaited.com,,RPA/AI,,https://www.visionaries.vc/portfolio
Visionaries Club,Autarc,autarc.energy,Berlin,Energy/AI,,https://www.visionaries.vc/portfolio
Visionaries Club,Causaly,causaly.ai,London,Life Sciences AI,,https://www.visionaries.vc/portfolio
Next47,BuildOps,,US,Applications,Series A,https://www.n47.com/portfolio
Next47,Encord,,US,Infrastructure,Series B,https://www.n47.com/portfolio
Next47,Skydio,,US,Systems,Series C,https://www.n47.com/portfolio
Next47,Tractian,,US,Systems,Series A,https://www.n47.com/portfolio
Next47,VAST Data,,US,Infrastructure,Series C,https://www.n47.com/portfolio
Next47,Verkada,,US,Systems,Series A,https://www.n47.com/portfolio
Next47,15Five,,US,Applications,Series B,https://www.n47.com/portfolio
Next47,Aeva,,US,Systems,Series A,https://www.n47.com/portfolio
Next47,Aforza,,Europe,Applications,Series A,https://www.n47.com/portfolio
Next47,Alaiko,,Europe,Applications,Series A,https://www.n47.com/portfolio
Next47,Antenna,,US,Infrastructure,Series A,https://www.n47.com/portfolio
Next47,Apollo GraphQL,,US,Infrastructure,Series D,https://www.n47.com/portfolio
Next47,Armorblox,,US,Infrastructure,Series B,https://www.n47.com/portfolio
Next47,Aurasell,,US,Applications,Seed,https://www.n47.com/portfolio
Next47,Avidbots,,US,Systems,Series B,https://www.n47.com/portfolio
Next47,Bizzabo,,US,Applications,Series D,https://www.n47.com/portfolio
Next47,Blink,,US,Applications,Series A,https://www.n47.com/portfolio
Next47,Bringg,,Israel,Applications,Series C,https://www.n47.com/portfolio
Next47,Built Robotics,,US,Systems,Series B,https://www.n47.com/portfolio
Next47,cargo.one,,Europe,Applications,Series A,https://www.n47.com/portfolio
